id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,gamma,beta,alpha_transformed,gamma_transformed,beta_transformed,alpha_ffx,gamma_ffx,beta_ffx,alpha_transformed_ffx,gamma_transformed_ffx,beta_transformed_ffx
211253,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-630.2768002,-622.2515469,-625.2515469,-630.4725053,0.087590844,2.528738913,-1.688081858,2.21050391,0.926132126,0.156028262,9.120311052,1.904586986,-1.597511052,2.19024995,0.870409801,0.168329768,8.937446752
211274,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-824.8326287,-816.9267465,-819.9267465,-825.1477049,0.026058562,-1.529981317,-0.864817416,2.611655764,0.17799642,0.296333834,13.62158633,-1.561274674,-0.694050907,2.562802976,0.173463816,0.333132536,12.97212697
211669,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-661.9658139,-654.419148,-657.419148,-662.6401064,0.117623471,-0.148363312,2.745471488,1.989000269,0.462977059,0.939657085,7.308223851,-0.144915099,1.758390158,2.01316119,0.463834494,0.853007923,7.486947643
212019,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-717.268607,-709.8652925,-712.8652925,-718.0862509,0.059066433,0.996000597,-0.506941913,2.69183126,0.730271521,0.375910686,14.75867816,0.733034421,-0.268604811,2.636564122,0.675470802,0.433249644,13.96513857
212020,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-890.0105328,-882.6094606,-885.6094606,-890.830419,0.00960028,-3.240806026,-1.490518157,2.28786443,0.03765867,0.183843968,9.853871559,-3.280671266,-0.972237677,2.153946846,0.036240265,0.274434711,8.618808468
212794,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-858.9807477,-852.7023354,-855.7023354,-860.9232937,0.021102553,0.326355984,0.961304303,3.091075272,0.580872468,0.723382872,22.00072202,0.258204696,0.795628898,3.075035218,0.564194915,0.689038684,21.65064438
212856,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-756.3115669,-748.7587609,-751.7587609,-756.9797192,0.067323423,0.024723923,-0.268696724,2.586166031,0.506180666,0.433227076,13.27876351,-0.083327172,-0.067344101,2.537296754,0.479180252,0.483170335,12.64544099
212857,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-623.6454471,-616.2392028,-619.2392028,-624.4601612,0.118053747,-0.110895021,1.206410878,2.010096342,0.472304622,0.769663279,7.464036411,-0.023038341,0.858185585,2.034184516,0.49424067,0.702281431,7.646014381
213163,explore,decay_factorize_selective_psequate_fixedparams_fmri,1.009803922,h_sceptic_fixed_decay_fmri,g_sceptic,-284.5951036,-278.2835792,-281.2835792,-285.2356727,0.080158455,-0.024537718,-1.214575902,2.571905784,0.493865878,0.2288924,13.09074882,-0.142313142,-0.924865106,2.509073706,0.464481641,0.283967634,12.29353735
213704,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-794.382426,-786.1455213,-789.1455213,-794.3664797,0.040978995,-1.853844317,-1.115122598,2.657710606,0.135422162,0.246917112,14.26359669,-1.873215364,-0.88294813,2.605400649,0.133170117,0.292567227,13.53664767
213708,explore,decay_factorize_selective_psequate_fixedparams_fmri,2,h_sceptic_fixed_decay_fmri,g_sceptic,-778.126448,-770.2716919,-773.2716919,-778.4926503,0.036684858,-0.449368925,-1.099890324,2.650389918,0.389510821,0.249760445,14.15955864,-0.540251657,-0.869162845,2.594201109,0.368129043,0.295428527,13.38588922
